id_processo,tj,link_edital_recuperanda,link_edital_aj,link_edital_qgc
04176625020138190001,RJ,NA,https://drive.google.com/open?id=1Xh9UZh9b-xOknjA2sXvCLp2pdNnnxnVv,NA
04225817720168190001,RJ,https://drive.google.com/open?id=14mcEhjq3nfYiGpplUDEfFPdi-wL9IKJl,https://drive.google.com/open?id=12oib0TyHo1nAK_W6CnwMmCI4uXAMkHPu,NA
02487914720198190001,RJ,https://drive.google.com/open?id=1zwsSi3-l4qilzguOaj0_3sIjLn0XJt1l,https://drive.google.com/open?id=1T-45EpYGxnfS8KKEkq1y--ubaDtPXuZQ,NA
02802301320188190001,RJ,https://drive.google.com/open?id=13muSCQtc9_VMCrH-7V3otIn5SdMdwfu-,https://drive.google.com/open?id=1cpwaWYElX7GR4fFjHgzdI9syGw_d0tKa,https://drive.google.com/open?id=19JwuaBNL4gp8aMpE-zCmZJcm0v80rIlP
00534416320158190001,RJ,https://drive.google.com/open?id=1U2u9HIJQdcE70ggGuK4QGuZr48Dsx17C,https://drive.google.com/open?id=14QBn1D8gppXqJRbihaSApTWPn95mkCkZ,NA
01163302420138190001,RJ,https://drive.google.com/open?id=1ONbCSAPthbHYUM8pZrEA7PE0XY3hYamM,https://drive.google.com/open?id=1XLW15jDYiTcp8FxT5GS9GnecB5yW_bZc,https://drive.google.com/open?id=1Lg3yMr89KUpdk31XvWG3zuIahpCmcWyc
00039859420138190008,RJ,https://drive.google.com/open?id=1g8x882TO5wDznuaMWHogINDEeHOBhnVU,https://drive.google.com/open?id=1ekMlu2EEejO68mFgIg01wkn7JIDAMLg3,NA
02884639620188190001,RJ,https://drive.google.com/open?id=1P64Dc1JNU0D62ymLvWj7Aa8nAtX91uD8,https://drive.google.com/open?id=1M4pX406rsHYy8D2Ta0MoJHJCSVefvxCj,NA
00550679120148190021,RJ,https://drive.google.com/open?id=1Ov5NPlbQPkvWrHXF6eFnZEFYbg1EbTl5,https://drive.google.com/open?id=1QDe1yxaRxGmWLhOpA7oFnnTI38CfmxaZ,NA
00297412420168190001,RJ,https://drive.google.com/open?id=1Z3BiGO1FyRDuF2jhvasvchBItowo-HC3,https://drive.google.com/open?id=1SW8eaAJXnA0I1DGwcxrutqyHTuh8pEXY,NA
00011018320188190019,RJ,https://drive.google.com/open?id=1PrLUZK130Asv6Rc9V4Ckw_VAFobE4D7_,https://drive.google.com/open?id=1gPXAg3Z31QK4hlm0JENJKU65AtZJU8zf,NA
03984391420138190001,RJ,https://drive.google.com/open?id=1SdlbCoSV6wnvQmGjic_dEY8Gp37kOK9-,https://drive.google.com/open?id=150gfu7va4xsmWH3i5sF3YyOVhvhQ-BQN,NA
00862518220128190038,RJ,https://drive.google.com/open?id=1A6vLtXV3j6BB_C5VywhNHSz931f-Uo91,https://drive.google.com/open?id=1NkbwcLIEdj6Zom6Uij1HMAHhXQY_2VVf,https://drive.google.com/open?id=17pUxn8ZZMAb8McrZmTw83-vgZTMOPp4C
03606366520118190001,RJ,https://drive.google.com/open?id=1T9d5AXOnc-imEa2I38emJhTWY9UBvHck,https://drive.google.com/open?id=1MG45OAo1X55JexhC691MWZ_mVY8eJY6s,https://drive.google.com/open?id=1jVWOTqUPgzkCapk0YIMzRAzs-Twr8Mi4
02145153420128190001,RJ,https://drive.google.com/open?id=10-YuRkmbfw-m1FMQtAgoJsB6-6orkd11,https://drive.google.com/open?id=1L0k2kflVnvq_-vo-X-uG7fX4Rd9oKD9i,NA
01176082120178190001,RJ,https://drive.google.com/open?id=1Bja-ddUgrAAGcI13NL7SzXDACt8GrMEm,https://drive.google.com/open?id=18hdlcjsDAJpcNH_FTdM0AJrOEfFEKzWD,https://drive.google.com/open?id=1nhHy70DA8KfQrShsepUrW3YwAMpc3kS9
02201846320158190001,RJ,https://drive.google.com/open?id=1zwPU9Su0szx5w1GN3gx4wfEej5e41QG1,https://drive.google.com/open?id=1SqyHPKPFL62ngmI3e4WP6eCcQcklXTHN,https://drive.google.com/open?id=16F41chOivhK78CEqBymwGcEGDeE95gM3
03465343320148190001,RJ,https://drive.google.com/open?id=18SEmEUZWERK5O06pNCvEF1Vh3S92wHwL,https://drive.google.com/open?id=10rivKectNP5363-0R9T1F4klc5h8UWIk,NA
00126330820188190002,RJ,https://drive.google.com/open?id=1U5WGlVlHZe8705a97BgTCsc8hKF4az2D,https://drive.google.com/open?id=1sOvau511j-VvlgES0e2Vuiqyo1-Mpqe1,NA
04666624820158190001,RJ,https://drive.google.com/open?id=1OF9Cl9dhmk6yVfAiVaEt0rZBUtbeFlZV,https://drive.google.com/open?id=1jqqajYqmWvy1nBEvonmNSaSrCt5Jd5D3,https://drive.google.com/open?id=1q0Gd3NAjZa7BeTnJ4OwHdiCuKyiLGQyL
02381491520198190001,RJ,https://drive.google.com/open?id=1ju6gkAOZydw8F6qyLyA8fIWYd6U0QjRB,https://drive.google.com/open?id=1OKLHNDU_wovkaHPYp6sM48Kg1pTGqjzW,NA
00009914120148190014,RJ,https://drive.google.com/open?id=18iYiZwA06JDwB7UpU68_xu6bOlls3Tws,https://drive.google.com/open?id=15aoevMspuEl7O6dOO2JnC3cJB3WjBHSV,https://drive.google.com/open?id=1LKs_QG6Cj_PdGtP3FE8Qwr7EfvpOAuaH
00155070920158190054,RJ,https://drive.google.com/open?id=1jGmtEGXG3keO8y3J4_00skgXbCxBxKAY,https://drive.google.com/open?id=1WWf7jn5g_i1zsuS9y3rMNRPh8d9-CGVX,NA
04392010420158190001,RJ,https://drive.google.com/open?id=1ezInwpcRG0nHVNS8jOSU819CSURU7x0n,https://drive.google.com/open?id=1vVKb-yByhbc1qxf2XuhIgOAPxJkV5HKM,NA
00856458720208190001,RJ,https://drive.google.com/open?id=1dnLFOiewaVFVanECKbeWLol7rfUa5tmw,https://drive.google.com/open?id=1529eKj-qkeSJjVEp3OQ25ds-bSCtkjtJ,NA
02044847120208190001,RJ,https://drive.google.com/open?id=1MobO9fUn6VfQO7CqQJcqnwFRTDYm5ZxC,https://drive.google.com/open?id=17Iavo8aPbPeBr1QH-HYT628zykaGpTix,NA
00221342220178190066,RJ,https://drive.google.com/open?id=1BUUYc2d4m4fFdszNL8REzbExB6HvqALl,https://drive.google.com/open?id=1wbnV4FIRrev02fFacKSROy-jRgbFtKzY,https://drive.google.com/open?id=1c8YVaNsitHZPKYNYI9MFlYqlh8C7knzC
00973158820218190001,RJ,https://drive.google.com/open?id=1aXqxkO3F_Nggd5jjVwXGXuSE49XLKJYZ,https://drive.google.com/open?id=1HvxEBCMWcCv5sl-kqsRmzDzUEEDoCULA,NA
03776205620138190001,RJ,https://drive.google.com/open?id=1yacS7j3Jai2dT33B5Z8fVxR1tf-2btEf,https://drive.google.com/open?id=1U5Ap2HZMwQEkXb_iDUP7stIWNbgP_hfu,NA
02463352720198190001,RJ,https://drive.google.com/open?id=1Xrml1w0uJ4i_thE3zBaaI5W1kJsmE5_x,https://drive.google.com/open?id=1YAbGn_v0Svz3EQkWq2-eU7AkpL6qlk6t,NA
00417564920218190001,RJ,https://drive.google.com/open?id=1mDUp-OaMEFpc_iAOAggL6iaGtihB05dw,NA,NA
00000561020148190011,RJ,https://drive.google.com/open?id=1nhmrBw8-o-qWQd-NSg7DIPUb8UhqZKaZ,https://drive.google.com/open?id=1Xr0k6nBK1CTsVJ7Xn_AhQ536mygnDme4,https://drive.google.com/open?id=18TGHt9xUTugs5MkJOQ7lAuRI8zxChonF
00937549020208190001,RJ,https://drive.google.com/open?id=1xtG_IHVNdP2DDJ14k7QGbKPZ60dWoJs0,https://drive.google.com/open?id=1wTf-Mknoqwe2rpaUlsTj8VtYl7RwUxhr,https://drive.google.com/open?id=1JoCPzRSaiugyDT8NTIae3Bs5odssUWkA
00087272920188190028,RJ,https://drive.google.com/open?id=1QzDWiflviqZEEWoPk3BXQo8sw8R-GanQ,https://drive.google.com/open?id=1uh_LBtnLgLcot2qCR1GVswlMsCNWVZO4,https://drive.google.com/open?id=1ZccVITRsgwNFDltltdkmndxBzTrw-CFH
00535922020158190004,RJ,https://drive.google.com/open?id=1YHxIBdCONvvWggg5jjMSgCVI82bw5NyN,https://drive.google.com/open?id=1SUpH2zLKD2IVrvbhpWp8ROcB6UnrWrOu,NA
02048103620178190001,RJ,https://drive.google.com/open?id=1E-AR3B3xAgZX5X6V-dVFNxjoHooVzW-J,https://drive.google.com/open?id=1Yr7GhrvF0LxxVE7A6pXTLiRWmsb5t_DF,NA
00274139520158190021,RJ,https://drive.google.com/open?id=1LBEi3YZRKr2qiOvLokShzdAgPRdMXQtT,https://drive.google.com/open?id=1mXwl5SwW5sXNlsbTMplpESrKlPKQ8igV,NA
